Month,Product,Customer,Cases,Unit Price,Promo,Total Price
2/1/2019,Product 1,Customer 1,90,15.6,0,1404
2/1/2019,Product 2,Customer 1,90,15.6,0,1404
2/1/2019,Product 3,Customer 1,90,15.6,0,1404
2/1/2019,Product 4,Customer 1,72,15.6,0,1123.2
2/1/2019,Product 5,Customer 1,72,15.6,0,1123.2
3/1/2019,Product 1,Customer 2,90,15.6,0,1404
3/1/2019,Product 2,Customer 2,90,15.6,0,1404
3/1/2019,Product 3,Customer 2,90,15.6,0,1404
3/1/2019,Product 4,Customer 2,90,15.6,0,1404
3/1/2019,Product 5,Customer 2,90,15.6,0,1404
4/1/2019,Product 1,Customer 1,36,15.6,0,561.6
4/1/2019,Product 2,Customer 1,36,15.6,0,561.6
4/1/2019,Product 3,Customer 1,30,15.6,0,468
4/1/2019,Product 4,Customer 1,60,15.6,0,936
4/1/2019,Product 5,Customer 1,18,15.6,0,280.8
5/1/2019,Product 1,Customer 1,18,15.6,0,280.8
5/1/2019,Product 2,Customer 1,18,15.6,0,280.8
5/1/2019,Product 3,Customer 1,36,15.6,0,561.6
5/1/2019,Product 4,Customer 1,54,15.6,0,842.4
5/1/2019,Product 5,Customer 1,96,15.6,0,1497.6
5/1/2019,Product 1,Customer 2,66,15.6,0,1029.6
5/1/2019,Product 2,Customer 2,48,15.6,0,748.8
5/1/2019,Product 3,Customer 2,48,15.6,0,748.8
5/1/2019,Product 4,Customer 2,6,15.6,0,93.6
5/1/2019,Product 5,Customer 2,18,15.6,0,280.8
5/1/2019,Product 1,Customer 1,36,15.6,0,561.6
5/1/2019,Product 2,Customer 1,120,15.6,0,1872
5/1/2019,Product 3,Customer 1,24,15.6,0,374.4
6/1/2019,Product 3,Customer 3,180,16.8,0,3024
6/1/2019,Product 4,Customer 3,180,16.8,0,3024
6/1/2019,Product 5,Customer 3,180,16.8,0,3024
7/1/2019,Product 3,Customer 4,60,13.26,1,795.6
7/1/2019,Product 4,Customer 4,60,13.26,1,795.6
7/1/2019,Product 5,Customer 4,60,13.26,1,795.6
7/1/2019,Product 3,Customer 5,126,13.26,1,1670.76
7/1/2019,Product 4,Customer 5,126,13.26,1,1670.76
7/1/2019,Product 5,Customer 5,126,13.26,1,1670.76
7/1/2019,Product 3,Customer 1,270,13.26,1,3580.2
7/1/2019,Product 4,Customer 1,270,13.26,1,3580.2
7/1/2019,Product 5,Customer 1,180,13.26,1,2386.8
7/1/2019,Product 3,Customer 6,90,13.26,1,1193.4
7/1/2019,Product 4,Customer 6,90,13.26,1,1193.4
7/1/2019,Product 5,Customer 6,90,13.26,1,1193.4
7/1/2019,Product 3,Customer 7,90,13.26,1,1193.4
7/1/2019,Product 4,Customer 7,90,13.26,1,1193.4
7/1/2019,Product 5,Customer 7,90,13.26,1,1193.4
7/1/2019,Product 3,Customer 2,180,13.26,1,2386.8
7/1/2019,Product 4,Customer 2,180,13.26,1,2386.8
7/1/2019,Product 5,Customer 2,180,13.26,1,2386.8
7/1/2019,Product 1,Customer 2,6,15.6,0,93.6
7/1/2019,Product 2,Customer 2,60,15.6,0,936
7/1/2019,Product 3,Customer 2,78,15.6,0,1216.8
7/1/2019,Product 4,Customer 2,18,15.6,0,280.8
7/1/2019,Product 5,Customer 2,18,15.6,0,280.8
8/1/2019,Product 3,Customer 8,72,13.26,1,954.72
8/1/2019,Product 4,Customer 8,72,13.26,1,954.72
8/1/2019,Product 5,Customer 8,72,13.26,1,954.72
8/1/2019,Product 3,Customer 9,90,13.26,1,1193.4
8/1/2019,Product 4,Customer 9,90,13.26,1,1193.4
8/1/2019,Product 5,Customer 9,90,13.26,1,1193.4
8/1/2019,Product 3,Customer 10,72,13.26,1,954.72
8/1/2019,Product 4,Customer 10,72,13.26,1,954.72
8/1/2019,Product 5,Customer 10,72,13.26,1,954.72
8/1/2019,Product 3,Customer 11,144,13.26,1,1909.44
8/1/2019,Product 4,Customer 11,144,13.26,1,1909.44
8/1/2019,Product 5,Customer 11,144,13.26,1,1909.44
8/1/2019,Product 3,Customer 12,144,13.26,1,1909.44
8/1/2019,Product 4,Customer 12,144,13.26,1,1909.44
8/1/2019,Product 5,Customer 12,144,13.26,1,1909.44
8/1/2019,Product 3,Customer 12,90,14.28,1,1285.2
8/1/2019,Product 4,Customer 12,90,14.28,1,1285.2
8/1/2019,Product 5,Customer 12,90,14.28,1,1285.2
8/1/2019,Product 1,Customer 2,54,14.28,1,771.12
8/1/2019,Product 2,Customer 2,72,14.28,1,1028.16
8/1/2019,Product 3,Customer 2,48,14.28,1,685.44
8/1/2019,Product 4,Customer 2,6,14.28,1,85.68
8/1/2019,Product 3,Customer 6,90,14.28,1,1285.2
8/1/2019,Product 4,Customer 6,90,14.28,1,1285.2
8/1/2019,Product 5,Customer 6,90,14.28,1,1285.2
8/1/2019,Product 3,Customer 5,60,14.28,1,856.8
8/1/2019,Product 4,Customer 5,90,14.28,1,1285.2
8/1/2019,Product 5,Customer 5,72,14.28,1,1028.16
8/1/2019,Product 3,Customer 9,60,14.28,1,856.8
8/1/2019,Product 4,Customer 9,60,14.28,1,856.8
8/1/2019,Product 5,Customer 9,60,14.28,1,856.8
8/1/2019,Product 3,Customer 8,60,14.28,1,856.8
8/1/2019,Product 4,Customer 8,60,14.28,1,856.8
8/1/2019,Product 5,Customer 8,60,14.28,1,856.8
8/1/2019,Product 3,Customer 4,72,14.28,1,1028.16
8/1/2019,Product 4,Customer 4,72,14.28,1,1028.16
8/1/2019,Product 5,Customer 4,72,14.28,1,1028.16
8/1/2019,Product 1,Customer 1,36,14.28,1,514.08
8/1/2019,Product 3,Customer 1,30,14.28,1,428.4
8/1/2019,Product 4,Customer 1,30,14.28,1,428.4
8/1/2019,Product 5,Customer 1,90,14.28,1,1285.2
8/1/2019,Product 3,Customer 5,150,14.28,1,2142
8/1/2019,Product 4,Customer 5,150,14.28,1,2142
8/1/2019,Product 5,Customer 5,150,14.28,1,2142
8/1/2019,Product 3,Customer 7,60,14.28,1,856.8
8/1/2019,Product 4,Customer 7,60,14.28,1,856.8
8/1/2019,Product 5,Customer 7,60,14.28,1,856.8
8/1/2019,Product 3,Customer 10,60,14.28,1,856.8
8/1/2019,Product 4,Customer 10,60,14.28,1,856.8
8/1/2019,Product 5,Customer 10,60,14.28,1,856.8
8/1/2019,Product 2,Customer 1,90,14.28,1,1285.2
8/1/2019,Product 3,Customer 1,90,14.28,1,1285.2
8/1/2019,Product 4,Customer 1,90,14.28,1,1285.2
8/1/2019,Product 5,Customer 1,90,14.28,1,1285.2
8/1/2019,Product 3,Customer 6,90,14.28,1,1285.2
8/1/2019,Product 4,Customer 6,90,14.28,1,1285.2
8/1/2019,Product 5,Customer 6,90,14.28,1,1285.2
8/1/2019,Product 3,Customer 11,180,16.8,0,3024
